"행정구역별",2016년,2017년,2018년,2019년,2020년
"전국",2672843,2674227,2711385,2747219,2693716
"서울특별시",436121,428333,424800,422293,409536
"부산광역시",151207,150863,152775,155589,153527
"대구광역시",125541,124708,125160,126122,122587
"인천광역시",155590,156470,158871,160853,156928
"광주광역시",89095,88189,88622,88990,86419
"대전광역시",85939,84240,83453,82743,79807
"울산광역시",65629,66016,67290,68512,67397
"세종특별자치시",17910,20764,24865,27892,29487
"경기도",727380,733941,752499,769744,761731
"강원도",76772,75722,75412,75617,73478
"충청북도",84052,84240,85344,86709,85135
"충청남도",115309,116963,120152,122424,120115
"전라북도",97895,97383,97606,97731,94661
"전라남도",92981,93233,94134,94952,92405
"경상북도",127825,127642,129290,131374,129079
"경상남도",185325,186619,191016,194606,190849
"제주특별자치도",38272,38901,40096,41068,40575
